,Restaurant Name,Ratings,No of Reviews,Review URL,Image URL
41,Norden restaurant,5,77,http://www.tripadvisor.com/Restaurant_Review-g293917-d7598544-Reviews-Norden_restaurant-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0a/4f/10/63/bbq-ribs.jpg
42,Tong Tem Toh,4,400,http://www.tripadvisor.com/Restaurant_Review-g293917-d4710227-Reviews-Tong_Tem_Toh-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0f/d6/72/1d/photo0jpg.jpg
43,Le Grand Lanna,4.5,252,http://www.tripadvisor.com/Restaurant_Review-g293917-d877488-Reviews-Le_Grand_Lanna-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/01/1c/34/25/calm-ambience.jpg
44,The Riverside,4,"2,064",http://www.tripadvisor.com/Restaurant_Review-g293917-d1079137-Reviews-The_Riverside-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/02/19/f2/b0/really-lovely-meal-ruby.jpg
45,Grazie thai local food,4.5,63,http://www.tripadvisor.com/Restaurant_Review-g293917-d8052370-Reviews-Grazie_thai_local_food-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0d/f6/f4/6b/fried-rice-with-chicken.jpg
46,LEON DE Nimman,5,64,http://www.tripadvisor.com/Restaurant_Review-g293917-d13170190-Reviews-LEON_DE_Nimman-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/11/63/3a/b5/the-leon-s-mansion.jpg
47,Simple Thai Cafe,4.5,186,http://www.tripadvisor.com/Restaurant_Review-g293917-d8088139-Reviews-Simple_Thai_Cafe-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/08/98/a9/ca/thai-grilled-chicken.jpg
48,Beer Republic,4,339,http://www.tripadvisor.com/Restaurant_Review-g293917-d3791445-Reviews-Beer_Republic-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/03/e7/ca/f5/beer-republic.jpg
49,The North Gate Jazz Co-Op,4.5,254,http://www.tripadvisor.com/Restaurant_Review-g293917-d3743573-Reviews-The_North_Gate_Jazz_Co_Op-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/04/13/4a/3e/the-north-gate-jazz-club.jpg
50,Miguel's Cafe,4,591,http://www.tripadvisor.com/Restaurant_Review-g293917-d1081080-Reviews-Miguel_s_Cafe-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0f/f4/52/6b/new-front-signage.jpg
51,Sheryle's Restaurant & Bar - Chiang Mai,4.5,161,http://www.tripadvisor.com/Restaurant_Review-g293917-d5790348-Reviews-Sheryle_s_Restaurant_Bar_Chiang_Mai-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0e/c8/c6/9b/sheryles-bar-and-restaurant.jpg
52,My Place Lounge,4.5,194,http://www.tripadvisor.com/Restaurant_Review-g293917-d2186668-Reviews-My_Place_Lounge-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0f/73/18/c7/blue-cheese-burger.jpg
53,Auf der Au,4.5,126,http://www.tripadvisor.com/Restaurant_Review-g293917-d3685630-Reviews-Auf_der_Au-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0e/e9/8c/03/just-a-few-of-the-desserts.jpg
54,Ratana's Kitchen,4,479,http://www.tripadvisor.com/Restaurant_Review-g293917-d900886-Reviews-Ratana_s_Kitchen-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0e/c6/0a/36/ratana-s-kitchen-has.jpg
55,Pink House Garden,4.5,110,http://www.tripadvisor.com/Restaurant_Review-g293917-d9874138-Reviews-Pink_House_Garden-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0b/b4/2f/cf/pink-house-garden.jpg
56,Ruen Tamarind,4.5,234,http://www.tripadvisor.com/Restaurant_Review-g293917-d3158412-Reviews-Ruen_Tamarind-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/07/1a/62/be/ruen-tamarind.jpg
57,Nice Kitchen,4.5,194,http://www.tripadvisor.com/Restaurant_Review-g293917-d3171993-Reviews-Nice_Kitchen-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/03/20/26/66/nice-kitchen-chiang-mai.jpg
58,Chez Marco,4.5,453,http://www.tripadvisor.com/Restaurant_Review-g293917-d1214608-Reviews-Chez_Marco-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/0b/80/cd/a2/beef-tenderloin-howie.jpg
59,Khao Soi Mae Sai,4.5,76,http://www.tripadvisor.com/Restaurant_Review-g293917-d7779592-Reviews-Khao_Soi_Mae_Sai-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0e/d9/90/cc/2017-03-30-13-largejpg.jpg
60,Why Not? Italian Restaurant & Wine Bar,4,333,http://www.tripadvisor.com/Restaurant_Review-g293917-d3176076-Reviews-Why_Not_Italian_Restaurant_Wine_Bar-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/02/80/7c/b5/squid-ink-spaghetti-seafood.jpg
61,Aroon (Rai) Restaurant,4,416,http://www.tripadvisor.com/Restaurant_Review-g293917-d1129357-Reviews-Aroon_Rai_Restaurant-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/03/70/8a/65/aroon-rai.jpg
